[Script Info]
ScriptType: v4.00+
Collisions: Normal
PlayResX: 384
PlayResY: 288
Timer: 100.0000

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,Tahoma,24,&H00FFFFFF,&H00FFFFFF,&H00FFFFFF,&H00C0C0C0,-1,0,0,0,100,100,0,0.00,1,2,3,2,20,20,20,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:07.20,0:00:08.65,Default,,0000,0000,0000,,君は情けない
Dialogue: 0,0:00:08.65,0:00:10.60,Default,,0000,0000,0000,,また鼻に突く
Dialogue: 0,0:00:10.60,0:00:13.80,Default,,0000,0000,0000,,冷蔵庫のバクテリアの話か、退屈だよ
Dialogue: 0,0:00:14.20,0:00:15.70,Default,,0000,0000,0000,,だけど荷物をまとめるのは
Dialogue: 0,0:00:15.70,0:00:17.70,Default,,0000,0000,0000,,俺が放り投げた
Dialogue: 0,0:00:17.70,0:00:20.80,Default,,0000,0000,0000,,ランプシェードの縁の汚い靴下のせいか、軽蔑の極みだな
Dialogue: 0,0:00:21.00,0:00:22.90,Default,,0000,0000,0000,,説明しなかったっけ？
Dialogue: 0,0:00:22.90,0:00:24.40,Default,,0000,0000,0000,,まだ納得してないのかい
Dialogue: 0,0:00:24.40,0:00:27.70,Default,,0000,0000,0000,,耳に草でも生えてるのか？
Dialogue: 0,0:00:27.80,0:00:29.65,Default,,0000,0000,0000,,覚えてるか？　デポニアを
Dialogue: 0,0:00:29.65,0:00:31.55,Default,,0000,0000,0000,,自己犠牲がどうたらこうたら
Dialogue: 0,0:00:31.55,0:00:34.60,Default,,0000,0000,0000,,まったくだ！　また最初からやり直しだ
Dialogue: 0,0:00:34.85,0:00:37.45,Default,,0000,0000,0000,,ハッザー！　最初からやり直しだ
