[Script Info]
ScriptType: v4.00+
Collisions: Normal
PlayResX: 384
PlayResY: 288
Timer: 100.0000

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,Tahoma,24,&H00FFFFFF,&H00FFFFFF,&H00FFFFFF,&H00C0C0C0,-1,0,0,0,100,100,0,0.00,1,2,3,2,20,20,20,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:07.20,0:00:08.90,Default,,0000,0000,0000,,最も壮大な
Dialogue: 0,0:00:08.90,0:00:10.60,Default,,0000,0000,0000,,物語にはクールな描写が
Dialogue: 0,0:00:10.60,0:00:12.70,Default,,0000,0000,0000,,ケーブルボートの壁にめり込む鋸刃とかな
Dialogue: 0,0:00:12.70,0:00:14.30,Default,,0000,0000,0000,,その試みは無謀なスタントだったが
Dialogue: 0,0:00:14.40,0:00:15.90,Default,,0000,0000,0000,,ゴールのインプラントに影響を与えた
Dialogue: 0,0:00:15.90,0:00:18.80,Default,,0000,0000,0000,,それはもちろん、ルーファスのせいなんかじゃない
Dialogue: 0,0:00:18.80,0:00:20.80,Default,,0000,0000,0000,,合計を勘定すれば
Dialogue: 0,0:00:21.00,0:00:22.80,Default,,0000,0000,0000,,お楽しみはこれからだ
Dialogue: 0,0:00:22.80,0:00:27.55,Default,,0000,0000,0000,,パート１の終わりは少しばかり粗削りだったから
Dialogue: 0,0:00:27.65,0:00:29.65,Default,,0000,0000,0000,,修正するために、ルーファスを向かわせよう
Dialogue: 0,0:00:29.65,0:00:31.55,Default,,0000,0000,0000,,まともなハッピーエンドへの、二度目のチャンスだ
Dialogue: 0,0:00:31.55,0:00:34.70,Default,,0000,0000,0000,,結末は、ダンスと酒とかなんかそんな感じの盛大な遊びさ
Dialogue: 0,0:00:34.85,0:00:37.45,Default,,0000,0000,0000,,ハッザー！　酒とかなんかそんな感じでな
