[Script Info]
ScriptType: v4.00+
Collisions: Normal
PlayResX: 384
PlayResY: 288
Timer: 100.0000

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,Tahoma,24,&H00FFFFFF,&H00FFFFFF,&H00FFFFFF,&H00C0C0C0,-1,0,0,0,100,100,0,0.00,1,2,3,2,20,20,20,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:00.00,0:00:01.92,Default,,0000,0000,0000,,いやあああああああああ！
Dialogue: 0,0:00:02.05,0:00:07.27,Default,,0000,0000,0000,,ふふふふふ。ルーファス！ ああ、ルーファス！ ふふふふ。
Dialogue: 0,0:00:07.37,0:00:08.97,Default,,0000,0000,0000,,これ、まだ長くかかるの？
Dialogue: 0,0:00:08.95,0:00:11.48,Default,,0000,0000,0000,,ロマンチックじゃないと思われたくないんだけど……
Dialogue: 0,0:00:11.52,0:00:14.55,Default,,0000,0000,0000,,……でも、まだいくつか大きな問題が……
Dialogue: 0,0:00:22.76,0:00:25.40,Default,,0000,0000,0000,,ふむ。これで終わりね、たぶん。
Dialogue: 0,0:00:26.14,0:00:29.04,Default,,0000,0000,0000,,ついに全員殺すことに成功したわけね。
Dialogue: 0,0:00:29.06,0:00:31.04,Default,,0000,0000,0000,,あの大砲が最後のチャンスだったのに。
Dialogue: 0,0:00:31.04,0:00:33.68,Default,,0000,0000,0000,,今はもう詰まっちまってる。
Dialogue: 0,0:00:34.30,0:00:36.41,Default,,0000,0000,0000,,わしらはみんな死ぬんじゃ。
Dialogue: 0,0:00:36.54,0:00:39.19,Default,,0000,0000,0000,,それも全部あんたのせいよ。
Dialogue: 0,0:00:39.49,0:00:41.30,Default,,0000,0000,0000,,本当にありがとう、ルーファス。
Dialogue: 0,0:00:41.46,0:00:42.13,Default,,0000,0000,0000,,やめなさい！
Dialogue: 0,0:00:42.31,0:00:43.69,Default,,0000,0000,0000,,恥を知りなさい。
Dialogue: 0,0:00:43.80,0:00:46.22,Default,,0000,0000,0000,,本気でルーファスを責めているの？
Dialogue: 0,0:00:46.55,0:00:48.06,Default,,0000,0000,0000,,彼がいなかったら、今ごろあなたたちはどこにいたと思う？
Dialogue: 0,0:00:48.33,0:00:51.70,Default,,0000,0000,0000,,たぶんまだクヴァクの自宅か、浮遊ブラックマーケットにいたでしょうね。
Dialogue: 0,0:00:51.73,0:00:56.80,Default,,0000,0000,0000,,みんな勝手なことをして。ブラストタワーのハッチが開いても、見向きもしなかったはずよ。
Dialogue: 0,0:00:57.26,0:00:59.02,Default,,0000,0000,0000,,あなたたちをここまで連れてきたのは彼よ。
Dialogue: 0,0:00:59.20,0:01:01.43,Default,,0000,0000,0000,,彼はあなたたちと、この惑星のために戦ったの。
Dialogue: 0,0:01:01.60,0:01:03.21,Default,,0000,0000,0000,,あなたたち全員に嫌われていてもね。
Dialogue: 0,0:01:03.83,0:01:06.39,Default,,0000,0000,0000,,彼は何度も私と一緒にエリジウムへ行くことができた。
Dialogue: 0,0:01:06.68,0:01:07.95,Default,,0000,0000,0000,,でも、彼はそうしなかった。
Dialogue: 0,0:01:08.22,0:01:10.89,Default,,0000,0000,0000,,自分の目的のためにデポニアを犠牲にすることを拒んだからよ。
Dialogue: 0,0:01:11.33,0:01:14.51,Default,,0000,0000,0000,,それなのに、彼がエリジウムのために同じことをしたからって、彼を責めるの？
Dialogue: 0,0:01:14.67,0:01:15.38,Default,,0000,0000,0000,,ゴール！
Dialogue: 0,0:01:15.51,0:01:16.50,Default,,0000,0000,0000,,おお、ゴール！
Dialogue: 0,0:01:16.62,0:01:17.46,Default,,0000,0000,0000,,生きてたんだな！
Dialogue: 0,0:01:17.56,0:01:18.90,Default,,0000,0000,0000,,元気そうじゃないか！
Dialogue: 0,0:01:19.05,0:01:20.63,Default,,0000,0000,0000,,それに……君、生きてるんだな！
Dialogue: 0,0:01:20.92,0:01:21.23,Default,,0000,0000,0000,,でも……
