[Script Info]
ScriptType: v4.00+
Collisions: Normal
PlayResX: 384
PlayResY: 288
Timer: 100.0000

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,Tahoma,24,&H00FFFFFF,&H00FFFFFF,&H00FFFFFF,&H00C0C0C0,-1,0,0,0,100,100,0,0.00,1,2,3,2,20,20,20,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:07.00,0:00:08.50,Default,,0000,0000,0000,,物語に記されている通り
Dialogue: 0,0:00:08.55,0:00:10.00,Default,,0000,0000,0000,,我らが英雄は恋に落ち
Dialogue: 0,0:00:10.05,0:00:12.00,Default,,0000,0000,0000,,乙女を救い出した
Dialogue: 0,0:00:12.05,0:00:13.50,Default,,0000,0000,0000,,迫りくる破滅から。
Dialogue: 0,0:00:13.55,0:00:15.15,Default,,0000,0000,0000,,鋼の馬にまたがり
Dialogue: 0,0:00:15.20,0:00:17.00,Default,,0000,0000,0000,,悪党たちに追われながら
Dialogue: 0,0:00:17.05,0:00:18.55,Default,,0000,0000,0000,,彼女と共に駆け抜けた
Dialogue: 0,0:00:18.60,0:00:20.80,Default,,0000,0000,0000,,夜明けの薄暗がりの中を。
Dialogue: 0,0:00:20.85,0:00:22.50,Default,,0000,0000,0000,,彼のキスで彼女は目覚めた
Dialogue: 0,0:00:22.55,0:00:24.05,Default,,0000,0000,0000,,まあ、大体そんな感じだ
Dialogue: 0,0:00:24.10,0:00:25.55,Default,,0000,0000,0000,,アッパーカットで驚かせた
Dialogue: 0,0:00:25.60,0:00:27.00,Default,,0000,0000,0000,,あの場面については。
Dialogue: 0,0:00:27.05,0:00:29.10,Default,,0000,0000,0000,,いくらかは説明がつく
Dialogue: 0,0:00:29.15,0:00:31.05,Default,,0000,0000,0000,,壊れた脳内インプラントのせいだと
Dialogue: 0,0:00:31.10,0:00:34.00,Default,,0000,0000,0000,,まあ細かいことは気にするな。
Dialogue: 0,0:00:34.10,0:00:37.50,Default,,0000,0000,0000,,ハッザー！ 誰も気にしないぜ！
